Siruta,Localitate,RataMortalitateInfantila
98257,Movileni,43.4783
124885,Valea Ursului,43.4783
28816,Copacel,43.4783
108240,Leordina,43.4783
64461,Lemnia,43.4783
148765,Fundu Moldovei,43.4783
72579,Gangiova,43.4783
110296,Bala,43.4783
179784,Boranesti,43.4783
23868,Oncesti,43.4783
93156,Ciulnita,43.4783
46180,Chiojdu,43.4783
52160,Cornereva,43.4783
60945,Albesti,42.5532
118469,Nades,42.5532
99165,Stolniceni-Prajescu,42.5532
100086,Vanatori,42.5532
86495,Racu,41.6667
150178,Sadova,41.6667
37618,Hanesti,41.6667
78089,Turcinesti,41.6667
169681,Fartatesti,41.6667
127493,Maruntei,41.6667
25488,Solont,41.6667
169039,Cernisoara,41.6667
107715,Campulung La Tisa,41.6667
161053,Nufaru,41.6667
162498,Berezeni,41.6667
10532,Craiva,41.6667
42058,Teliu,41.6667
62253,Mihai Viteazu,40.8163
57742,Frata,40.0
9360,Sofronea,40.0
42842,Bertestii De Jos,40.0
63866,Belin,40.0
108455,Petrova,40.0
56210,Bontida,40.0
40820,Cincu,40.0
71910,Cotofenii Din Dos,40.0
13935,Albota,40.0
94125,Alexandru Odobescu,40.0
142710,Somes-Odorhei,40.0
136713,Acas,40.0
149968,Preutesti,40.0
21597,Brusturoasa,40.0
47630,Manzalesti,40.0
37547,Havarna,40.0
54305,Ticvaniu Mare,40.0
52696,Dognecea,40.0
31841,Tulca,40.0
71126,Bralostita,40.0
73335,Motatei,39.2157
141232,Garbou,38.4615
147713,Carlibaba,38.4615
7865,Sona,38.4615
61372,Cogealac,38.4615
144303,Blajel,38.4615
49769,Topliceni,38.4615
141134,Galgau,38.4615
108918,Salsig,38.4615
18741,Slobozia,38.4615
32179,Sannicolau Roman,38.4615
123601,Pangarati,37.7358
160644,Jurilovca,37.037
7197,Scarisoara,37.037
77126,Scanteiesti,37.037
105106,Singureni,37.037
70174,Simnicu De Sus,37.037
130026,Vladila,37.037
150524,Todiresti,37.037
136278,Batrani,37.037
37173,Draguseni,37.037
33658,Matei,37.037
105419,Stefanestii De Jos,36.3636
117113,Glodeni,36.3636
155911,Biled,35.7143
113894,Vanjulet,35.7143
176748,Milcovul,35.7143
151433,Comanesti,35.7143
167240,Rafaila,35.7143
105712,Valea Argovei,35.7143
81264,Plopsoru,35.0877
151077,Vicovu De Jos,34.8837
34397,Salva,34.4828
61256,Ciobanu,34.4828
106620,Sarasau,34.4828
122249,Damuc,34.4828
76718,Mastacani,34.4828
45003,Beceni,34.4828
96334,Coarnele Caprei,34.4828
17824,Oarja,34.4828
138351,Orasu Nou,34.4828
140379,Buciumi,34.4828
115637,Balauseri,34.4828
155760,Becicherecu Mic,33.3333
166770,Vinderei,33.3333
168452,Oras Balcesti,33.3333
43466,Jirlau,33.3333
64602,Ojdula,33.3333
81415,Prigoria,33.3333
124331,Stanita,33.3333
132510,Ceptura,33.3333
33435,Lechinta,33.3333
138805,Sauca,33.3333
71634,Celaru,33.3333
73629,Pielesti,33.3333
147465,Bunesti,33.3333
120218,Viisoara,33.3333
56522,Camarasu,33.3333
21506,Blagesti,32.967
98774,Ruginoasa,32.7869
83981,Ciucsangeorgiu,32.7869
98220,Motca,32.7869
115389,Band,32.6087
149290,Marginea,32.5203
153776,Vitanesti,32.2581
151736,Islaz,32.2581
152332,Buzescu,32.2581
154013,Scrioastea,32.2581
35884,Stauceni,32.2581
90878,Rau De Mori,32.2581
87996,Baru,32.2581
162194,Banca,32.2581
121466,Bargauani,32.2581
92961,Borcea,32.2581
23975,Palanca,32.2581
122908,Grumazesti,32.2581
21418,Berzunti,32.2581
101957,Ciorogarla,32.2581
67292,Dobra,32.2581
103407,Gradinari,31.25
166413,Todiresti,31.25
167277,Cozmesti,31.25
175938,Dumbraveni,31.25
68280,Nucet,31.25
63633,Barcani,31.25
155840,Bethausen,31.25
164197,Hoceni,31.25
83197,Feliceni,31.25
144553,Darlos,31.25
73665,Piscu Vechi,31.25
38633,Radauti-Prut,31.25
150258,Slatina,30.7692
51500,Berzovia,30.303
5577,Metes,30.303
15233,Cateasca,30.303
165185,Padureni,30.303
148667,Fratautii Noi,30.303
122702,Girov,30.303
49643,Tisau,30.303
174780,Campineanca,30.303
166057,Stefan Cel Mare,30.303
176944,Nereju,29.8507
12242,Sicula,29.4118
139330,Vama,29.4118
66438,Buciumeni,29.4118
104680,Prundu,29.4118
22059,Cotofanesti,29.4118
46377,Cochirleanca,29.4118
166529,Tutova,29.4118
152083,Blejesti,29.4118
163002,Codaesti,29.4118
164133,Grivita,29.4118
25068,Sascut,29.4118
157497,Liebling,28.5714
118370,Mihesu De Campie,28.5714
31878,Tetchea,28.5714
137407,Certeze,28.5714
46910,Glodeanu-Silistea,28.5714
150310,Stroiesti,28.5714
67407,Dragomiresti,28.5714
31976,Vadu Crisului,28.5714
84923,Martinis,28.5714
101056,Barcanesti,28.5714
138084,Mediesu Aurit,28.5714
130954,Oras Azuga,28.5714
18858,Stoenesti,28.5714
39391,Tudora,28.5714
167179,Zorleni,28.169
3039,Bistra,27.7778
115959,Ceuasu De Campie,27.7778
164687,Lipovat,27.7778
72533,Giurgita,27.7778
127019,Farcasele,27.7778
12055,Sintea Mare,27.7778
31565,Tarcea,27.7778
118799,Petelea,27.7778
118995,Raciu,27.7778
103130,Ganeasa,27.7778
108268,Miresu Mare,27.7778
27846,Budureasa,27.7778
61675,Deleni,27.7778
14405,Berevoesti,27.7778
22166,Oras Darmanesti,27.6243
159375,Checea,27.027
100736,Manasia,27.027
141722,Ip,27.027
61737,Dobromir,27.027
164936,Muntenii De Jos,27.027
77313,Tudor Vladimirescu,27.027
