Tara,Cont_Curent,Datorie_Publica,Inflatia
Austria,1.6,81.67,7.81
Belgium,0.19,104.12,4.05
Estonia,-1.65,28.85,9.16
Finland,-0.76,80.12,6.25
France,-1.04,116.27,4.88
Germany,5.51,63.33,5.95
Greece,-7.21,180.34,3.46
Ireland,7.03,44.64,6.30
Italy,0.22,147.47,5.62
Latvia,-3.82,54.23,8.94
Lithuania,1.1,38.56,9.12
Luxembourg,6.8,30.44,3.74
Netherlands,9.42,50.84,3.84
Portugal,0.55,103.77,4.31
Slovak Republic,-3.02,63.59,10.53
Slovenia,4.75,70.38,7.45
Spain,2.73,111.21,3.53
