,Cont_Curent,Datorie_Publica,Inflatia
Austria,0.06727029959188052,0.02678300838130736,0.7351799032413202
Belgium,-0.26866075899507275,0.5775230487221518,-0.9533827778648671
Estonia,-0.7070388780021607,-1.2689893270665054,1.3414457594895526
Finland,-0.494997287830254,-0.011241359660042622,0.03460602491002985
France,-0.5617070015922021,0.8755850304656374,-0.5806415477270651
Germany,0.9988238024819424,-0.42313112702408623,-0.10011972092291056
Greece,-2.031703194132274,2.447340682342604,-1.2183434113363167
Ireland,1.3609622486182325,-0.8816314100517201,0.05706031588218652
Italy,-0.26151328966343546,1.6409787613624902,-0.24831804133914512
Latvia,-1.2240391596572588,-0.646370965202335,1.2426468792120626
Lithuania,-0.05185418926874119,-1.0307850601752093,1.3234823267118268
Luxembourg,1.3061649837423464,-1.2299836850111852,-1.0925993818922388
Netherlands,1.930377305372004,-0.7295339378863198,-1.0476907999479255
Portugal,-0.1828911270154251,0.5689369010999112,-0.8366204648096521
Slovak Republic,-1.0334399774802643,-0.41675284593327905,1.956693332126647
Slovenia,0.8177545794137974,-0.25018158206181673,0.5735090082417919
Spain,0.33649164441688556,0.7514538676983914,-1.1869074039752974
